GRBname,T90_start,T90_end,T100_start,T100_end,fluence,hardness
GRB071112B,-0.048,0.272,-0.048,0.256,1.474382e-07 ,3.3528191171483184
GRB071101,-1.552,3.624,-1.316,3.508,9.594099e-08 ,1.3128646898177858
GRB071031,-4.532,192.48,-1.128,179.516,1.082346e-06 ,0.8912092420365862
GRB071028B,0.0,54.4,1.6,52.8,,
GRB071028A,19.24,48.884,20.164,47.02,4.527498e-07 ,1.3415902489827998
GRB071025,38.5,437.28,56.492,297.788,1.149278e-05 ,1.261013992907051
GRB071021,-33.576,250.76,-15.704,213.016,2.188804e-06 ,1.4094193604875576
GRB071020,-3.052,7.532,-2.452,1.848,5.482210e-06 ,1.9459423958059912
GRB071018,119.784,415.956,132.196,405.764,1.775477e-06 ,1.567761847773741
GRB071013,3.6,81.552,4.112,79.696,6.570768e-07 ,1.7580856772993736
GRB071011,-9.472,77.652,-4.228,61.652,4.325516e-06 ,1.5887661886557831
GRB071010C,0.0,12.8,0.0,12.8,,
GRB071010B,-35.74,23.828,-21.464,14.66,6.411174e-06 ,1.0488422347062358
GRB071010A,-1.144,5.876,-0.904,5.42,2.530621e-07 ,1.049155908924753
GRB071008,-11.008,13.568,-8.064,9.92,3.227541e-07 ,1.0477074050553652
GRB071006,0.0,46.4,1.6,44.8,,
GRB071003,-7.568,167.596,-1.48,146.908,1.641777e-05 ,1.6484649798683186
GRB071001,-0.044,61.8,0.92,58.348,1.260084e-06 ,1.3691778508955077
GRB070923,-0.004,0.04,-0.004,0.036,1.155161e-07 ,2.9297448578130867
GRB070920B,-14.12,13.352,-11.208,11.048,1.173110e-06 ,1.149608227998585
GRB070920A,15.18,74.816,16.88,72.64,8.580997e-07 ,1.4942729923201112
GRB070917,-0.104,15.128,0.212,8.932,3.755260e-06 ,1.4630867204521538
GRB070913,-1.584,1.292,-1.496,1.188,3.168975e-07 ,1.805426547102405
GRB070911,-72.268,158.8,-31.312,130.412,1.997377e-05 ,1.2517565819557355
GRB070810B,-0.008,0.076,-0.004,0.068,3.916510e-08 ,2.5451882387137936
GRB070810A,-2.304,10.44,-1.504,7.536,9.004082e-07 ,1.0330465559346242
GRB070809,-0.352,1.12,-0.288,0.992,1.640506e-07 ,1.437639585049378
GRB070808,-0.696,69.192,0.008,58.44,2.371238e-06 ,1.6100896127578204
GRB070805,-0.844,28.668,0.596,27.028,1.100447e-06 ,1.3237318766776662
GRB070802,4.804,22.768,5.54,21.34,4.297307e-07 ,1.3834706590215178
GRB070731,-0.144,2.984,-0.056,2.8,2.810779e-07 ,1.544081351749015
GRB070729,-0.068,1.076,0.02,1.008,2.768255e-07 ,2.706575624290579
GRB070724A,-0.028,0.46,0.004,0.436,4.497072e-08 ,1.3400773943050224
GRB070721B,-6.712,359.92,-4.104,332.76,7.476228e-06 ,1.8230570268692565
GRB070721A,-0.12,3.448,-0.004,3.344,8.817284e-08 ,1.0013593781529202
GRB070714B,-0.792,74.64,-0.496,65.14,1.422276e-06 ,1.7455810861783814
GRB070714A,-0.704,2.296,-0.704,2.296,1.770644e-07 ,0.747463914670865
GRB070704,-57.324,400.776,-53.696,331.24,9.617681e-06 ,1.3351184475385534
GRB070628,-31.736,16.188,-26.116,12.964,5.127632e-06 ,1.1262639443615972
GRB070621,-5.192,36.464,-2.132,31.132,7.674309e-06 ,1.4428129145561985
GRB070616,-6.528,602.396,88.58,495.456,3.299864e-05 ,1.354846320304562
GRB070612B,-13.808,10.192,-9.808,8.192,3.118469e-06 ,1.4674051838235465
GRB070612A,-4.696,417.864,1.176,366.456,1.768233e-05 ,1.3565320254770097
GRB070611,-8.416,7.584,-6.56,6.624,6.486195e-07 ,1.4689941768877413
GRB070531,-2.412,46.34,-1.04,43.58,2.160551e-06 ,1.8330321347513723
GRB070529,2.36,120.888,3.38,112.28,4.770658e-06 ,1.7275474741492838
GRB070521,-14.54,49.732,-1.988,36.64,1.620236e-05 ,1.6330893752824782
GRB070520B,-15.232,96.768,-15.232,80.768,2.423919e-06 ,2.1193866298104527
GRB070520A,17.0,65.0,17.0,65.0,6.066264e-07 ,1.5230352640217286
GRB070518,-1.784,4.504,-1.328,4.176,2.280565e-07 ,1.1246050626365842
GRB070517,0.648,9.176,0.94,8.764,3.114850e-07 ,1.233019565249639
GRB070509,-1.432,7.868,-1.052,6.776,2.368007e-07 ,0.9803023801028927
GRB070508,-15.62,33.116,-0.412,20.488,3.940992e-05 ,1.6141724341146646
GRB070506,3.784,11.184,4.176,10.168,3.577270e-07 ,1.33831941973209
GRB070429B,-0.208,0.328,-0.196,0.292,1.061634e-07 ,1.475027105554816
GRB070429A,-14.0,180.0,-10.0,158.0,1.231266e-06 ,1.0709019687933021
GRB070427,-0.18,13.688,0.64,11.72,9.866803e-07 ,1.0210803571386597
GRB070420,-29.136,100.276,-23.204,53.82,2.549965e-05 ,1.4555264038011326
GRB070419B,-10.344,313.764,-3.532,234.476,1.207589e-05 ,1.309724650178851
GRB070419A,-31.0,161.0,-31.0,129.0,8.001128e-07 ,0.8904718107277744
GRB070412,-4.552,31.188,-3.22,30.656,9.044915e-07 ,1.700630426010947
GRB070411,-47.884,109.536,-25.124,90.568,4.358578e-06 ,1.3372727972543959
GRB070406,0.0,1.28,0.016,0.832,6.264262e-08 ,2.6020776416579503
GRB070330,-1.404,5.716,-1.052,5.588,3.030749e-07 ,1.2214621961621928
GRB070328,-17.968,123.092,-3.808,68.308,1.952617e-05 ,1.7711288758919916
GRB070326,0.0,22.0,1.0,19.0,1.596514e-06 ,2.127992294470395
GRB070318,-1.008,171.536,0.72,131.088,5.017520e-06 ,1.6268968859101964
GRB070306,-118.84,185.256,-61.7,147.544,8.976694e-06 ,1.3619466946731396
GRB070227,0.0,3.2,0.0,3.2,,
GRB070224,-15.0,49.0,-15.0,33.0,4.545796e-07 ,0.9654732412495668
GRB070223,0.536,144.536,0.536,128.536,2.570056e-06 ,1.1548883874310225
GRB070220,-17.12,239.088,-1.264,124.132,2.023947e-05 ,1.5870109387630198
GRB070219,-1.92,19.08,-1.92,16.08,4.934229e-07 ,1.289347499014254
GRB070209,0.0,0.084,0.004,0.072,4.078113e-08 ,2.021249496791142
GRB070208,-15.032,48.968,-15.032,48.968,7.185549e-07 ,1.2571877977585866
GRB070129,-130.612,373.888,-96.712,363.036,4.124974e-06 ,1.0874018030480435
GRB070126,,,,,2.367500e-07 ,1.630046633941876
GRB070125,,,,,,
GRB070110,-2.744,108.176,-0.408,88.02,2.768672e-06 ,1.438599966997301
GRB070107,-20.508,465.324,-15.568,354.732,1.103234e-05 ,1.7717400404787558
GRB070103,-0.104,19.42,0.18,18.588,4.722478e-07 ,1.2103192499176918
GRB061222B,35.112,84.888,41.704,78.952,3.169968e-06 ,1.1090208037375469
GRB061222A,-98.76,117.24,-4.76,95.24,1.677119e-05 ,1.6350088867095272
GRB061218,,,,,4.879102e-08 ,1.004870560636573
GRB061217,0.028,0.284,0.048,0.272,1.368737e-07 ,3.322310222614868
GRB061210,-0.004,89.392,0.008,85.24,1.878484e-06 ,1.6194215682280624
GRB061202,-0.832,147.444,37.212,131.4,5.940748e-06 ,1.4230490119958281
GRB061201,0.0,0.852,0.012,0.788,9.862104e-07 ,2.5669655920201317
GRB061126,-5.208,90.216,-0.968,51.656,1.402101e-05 ,1.7631123734987746
GRB061121,-0.732,121.416,8.912,90.128,2.614782e-05 ,1.5427297892777945
GRB061110B,-16.504,132.676,-14.672,120.576,3.315422e-06 ,2.2105497698986847
GRB061110A,-8.796,44.884,-6.204,38.304,1.837141e-06 ,1.3619778377781926
GRB061102,-0.996,48.8,1.3,46.844,4.972437e-07 ,1.8160165224640339
GRB061028,46.788,166.144,57.02,162.832,1.528038e-06 ,1.4745862769855895
GRB061027,,,,,4.159010e-07 ,1.5121676343310464
GRB061021,-0.008,64.96,1.576,49.396,6.133987e-06 ,1.7110401002506266
GRB061019,-169.224,15.192,-167.752,12.632,3.254625e-06 ,1.2525926986469589
GRB061007,-4.056,248.288,3.628,79.364,1.099936e-04 ,2.0092312701311044
GRB061006,-23.288,137.72,-22.728,107.064,2.213583e-06 ,1.3131674800592426
GRB061004,0.244,8.116,0.84,7.1,8.658751e-07 ,1.2288821324475705
GRB061002,-2.348,16.868,-1.6,16.028,1.082364e-06 ,1.3745170944372636
GRB060929,-4.712,556.12,-2.536,550.424,1.230717e-06 ,1.3364416689892809
GRB060927,-0.992,23.752,-0.08,22.336,2.003732e-06 ,1.3707244581053903
GRB060926,-0.092,10.14,0.224,9.048,2.695973e-07 ,0.7939076772043367
GRB060923C,6.824,86.616,8.856,82.584,1.957665e-06 ,0.9584290912383356
GRB060923B,-0.068,9.888,0.332,9.28,5.723147e-07 ,0.8156431757459146
GRB060923A,-42.252,21.464,-40.736,17.756,1.479298e-06 ,1.3353030528341865
GRB060919,-0.92,9.028,-0.708,8.292,8.011167e-07 ,1.2628739663916202
GRB060912A,-0.56,6.116,-0.116,4.912,2.123471e-06 ,1.2616823475637218
GRB060908,-12.98,15.512,-8.056,11.24,5.697738e-06 ,1.660772107239358
GRB060906,-41.796,8.3,-39.928,4.66,3.156005e-06 ,1.07386602153416
GRB060904B,-0.944,213.224,0.392,190.372,2.770381e-06 ,1.373820638025789
GRB060904A,-23.888,109.76,-0.92,79.14,1.354554e-05 ,1.4077638351137443
GRB060825,-3.624,7.0,-1.988,5.988,1.611144e-06 ,1.2860266788270907
GRB060814,-11.688,218.324,0.984,146.056,2.575064e-05 ,1.4164130153182999
GRB060813,-0.488,35.956,1.188,17.156,1.104532e-05 ,1.632337747836167
GRB060807,-40.772,25.76,-32.816,21.232,1.497019e-06 ,1.55438986907026
GRB060805A,-1.224,4.52,-0.968,3.96,9.583726e-08 ,1.1905021414389927
GRB060804,-14.06,5.548,-12.952,5.236,8.064503e-07 ,1.374358860492484
GRB060801,0.04,0.588,0.052,0.556,2.974888e-07 ,3.5137418286633935
GRB060729,0.912,128.524,3.136,116.18,4.150980e-06 ,1.3335825807664794
GRB060728,,,,,4.099397e-07 ,2.0495087326592407
GRB060719,-0.32,84.64,0.412,67.332,2.203558e-06 ,1.1372346037515566
GRB060717,-0.224,2.776,-0.224,2.776,1.060086e-07 ,1.5774669363866127
GRB060714,-13.34,120.876,-8.908,107.156,4.130308e-06 ,1.1337309238748636
GRB060712,0.592,38.736,2.832,33.744,2.425944e-06 ,1.6935973442065404
GRB060708,-0.26,14.176,0.152,10.18,8.139302e-07 ,1.3731876543752077
GRB060707,-48.956,25.444,-46.38,20.264,2.723347e-06 ,1.363169687158506
GRB060614,-1.496,179.08,0.332,109.436,2.796197e-05 ,0.9955886551091394
GRB060607B,-0.756,37.096,0.572,32.156,2.727381e-06 ,1.3915856052657414
GRB060607A,-23.628,102.252,-7.212,95.82,4.707017e-06 ,1.5376943440821047
GRB060605,-67.164,18.112,-64.92,14.92,1.241759e-06 ,1.5628233811687051
GRB060604,-63.248,32.752,-63.248,32.752,5.025754e-07 ,1.2247296360040074
GRB060602A,2.12,84.744,4.476,79.312,3.422986e-06 ,1.937046796712976
GRB060526,-1.36,310.172,0.356,298.396,1.799623e-06 ,1.143141547954247
GRB060522,0.164,77.328,3.092,72.216,1.955790e-06 ,1.5111236614765249
GRB060516,-47.0,97.0,-47.0,81.0,1.154443e-06 ,1.1151672857559727
GRB060515,0.22,57.504,2.084,54.456,3.285890e-06 ,2.0729073280806274
GRB060512,-4.364,4.924,-3.792,4.608,2.776657e-07 ,0.919708133541362
GRB060510B,25.596,326.044,43.968,306.904,6.080090e-06 ,1.2241369583246355
GRB060510A,-6.752,16.748,-5.404,14.744,,
GRB060507,-11.024,192.352,-3.476,179.832,6.754776e-06 ,1.1988365830897556
GRB060505,0.0,7.0,1.0,5.0,1.663980e-06 ,2.105135976378994
GRB060502B,-0.004,0.172,-0.004,0.14,1.233794e-07 ,2.368374039363942
GRB060502A,-5.644,38.984,-3.72,24.728,4.316849e-06 ,1.5586558637773114
GRB060501,-10.116,30.152,-3.272,22.356,2.472644e-06 ,1.5579733739899684
GRB060428B,-15.0,113.0,-15.0,81.0,9.251027e-07 ,0.665824842848577
GRB060428A,-6.812,42.96,-1.772,37.708,1.903872e-06 ,1.039321614053414
GRB060427,-10.0,61.0,-8.0,54.0,7.246665e-07 ,1.261623932646558
GRB060424,-20.46,20.476,-17.844,19.836,1.085020e-06 ,1.376099611026043
GRB060421,-2.796,16.876,-0.748,11.248,2.196870e-06 ,1.458948618040907
GRB060418,-82.456,136.62,-45.62,63.46,1.341073e-05 ,1.2886355352783125
GRB060413,29.976,246.944,53.164,194.288,5.734687e-06 ,1.3164672544115228
GRB060403,-6.168,33.172,-4.06,26.528,3.244026e-06 ,2.0620536910765344
GRB060323,-5.12,24.48,-2.688,21.184,1.099719e-06 ,1.5196722477252658
GRB060322,-51.624,268.212,-19.52,209.952,9.286637e-06 ,1.422983278729858
GRB060319,0.968,13.396,2.54,12.828,3.289131e-07 ,0.9290306488053786
GRB060313,-0.128,0.756,-0.092,0.652,3.611289e-06 ,2.6128831583638705
GRB060312,-29.272,29.424,-25.752,18.904,2.866343e-06 ,1.1811910024600116
GRB060306,-1.352,66.92,-0.872,60.068,3.296704e-06 ,1.2452024686141319
GRB060223B,-7.0,5.524,-5.728,4.632,2.880875e-06 ,1.4973727781939525
GRB060223A,-2.924,10.032,-2.08,9.24,1.072173e-06 ,1.3277309489290086
GRB060219,-57.068,8.24,-55.088,6.956,5.071421e-07 ,0.8339686597843287
GRB060218,,,,,2.199985e-06 ,0.9741824157598187
GRB060211B,-10.596,19.16,-9.844,17.888,7.737183e-07 ,1.5710862742430671
GRB060211A,47.836,194.208,54.092,180.552,2.640226e-06 ,1.2670683665920086
GRB060210,-235.816,132.184,-235.816,52.184,1.374985e-05 ,1.5195327891446362
GRB060206,-0.552,13.704,0.152,7.704,1.425770e-06 ,1.3240367786756397
GRB060204B,-24.276,170.716,-19.464,120.0,5.753003e-06 ,1.5784836885418196
GRB060203,-22.168,55.736,-18.004,51.52,1.521695e-06 ,1.5269329491098098
GRB060202,-26.448,190.56,-16.324,176.552,3.389375e-06 ,1.256116543638582
GRB060124,-1.2,13.548,-0.548,12.876,6.934770e-07 ,1.258780491902426
GRB060123,,,,,,
GRB060117,-1.972,26.288,0.12,16.972,3.020245e-05 ,1.1057068490609303
GRB060116,-35.736,78.632,-29.048,75.784,4.608780e-06 ,1.7508139571713341
GRB060115,-50.176,108.844,-35.652,103.44,2.879964e-06 ,1.3089711937699504
GRB060111B,-2.028,61.696,-1.204,57.628,4.057288e-06 ,2.271956509109894
GRB060111A,-0.652,17.576,0.416,13.628,2.105361e-06 ,1.3510767612515326
GRB060110,-1.564,26.588,0.272,21.608,2.456622e-06 ,1.3431977175228598
GRB060109,-1.968,126.768,1.46,117.052,9.486118e-07 ,1.2380274561335889
GRB060108,-4.024,13.228,-2.56,11.66,5.092595e-07 ,1.0904856810316974
GRB060105,-21.048,66.54,-17.876,36.5,4.306799e-05 ,1.961914193890313
GRB060102,-0.896,22.104,-0.896,18.104,4.885037e-07 ,2.195532852512448
GRB051227,-0.848,122.732,0.128,115.528,1.315069e-06 ,1.7394827809074267
GRB051221B,48.528,98.104,51.7,94.272,1.951985e-06 ,1.8375106685780878
GRB051221A,-0.032,2.092,0.032,1.424,2.189549e-06 ,1.575614937827756
GRB051213,-10.724,66.588,-8.348,62.708,1.330931e-06 ,1.4912488637196486
GRB051210,-0.264,1.196,-0.204,1.096,2.056946e-07 ,2.374159821877383
GRB051117B,1.388,10.996,1.516,10.536,3.015526e-07 ,1.6839535352552293
GRB051117A,-29.656,156.396,-11.116,129.516,6.571982e-06 ,1.1755469244419077
GRB051114,0.0,3.0,0.0,2.0,2.570107e-07 ,2.057500800878678
GRB051113,-30.748,67.332,-28.192,65.104,4.113774e-06 ,1.3477831744346565
GRB051111,-11.312,84.688,-11.312,52.688,8.459822e-06 ,1.6662886210433843
GRB051109B,-8.144,10.812,-6.816,8.88,3.656186e-07 ,1.1658698123814524
GRB051109A,-3.72,40.584,-2.536,34.664,3.837459e-06 ,1.6291087495047174
GRB051105A,-0.004,0.064,0.0,0.056,3.574942e-08 ,2.265217842631314
GRB051021B,-4.64,54.688,-3.136,43.376,1.541929e-06 ,1.4940666476897173
GRB051016B,0.112,4.616,0.216,4.216,2.018870e-07 ,0.8977801638724782
GRB051016A,-0.136,22.864,-0.136,20.864,1.299475e-06 ,1.400489528462063
GRB051012,0.0,12.8,0.0,12.8,3.558196e-07 ,1.0340225027287646
GRB051008,-24.932,13.332,-1.524,10.884,1.171966e-05 ,1.9156665908531212
GRB051006,-14.352,26.592,-11.888,23.52,2.387579e-06 ,1.5668234933194893
GRB051001,-25.48,199.244,-11.896,178.364,2.391296e-06 ,1.0593267033757403
GRB050925,-0.036,0.068,-0.032,0.06,1.183596e-07 ,1.3955643409602887
GRB050922C,-3.316,3.484,-2.084,2.468,3.147740e-06 ,1.6206527081572246
GRB050922B,24.424,273.624,27.384,184.408,3.099759e-06 ,1.0602299775313249
GRB050916,7.384,105.616,11.456,96.64,1.703468e-06 ,1.3226960122936071
GRB050915B,-9.124,56.916,-4.296,38.8,5.122206e-06 ,1.1190516237605157
GRB050915A,-8.14,57.836,-6.528,46.892,1.603992e-06 ,1.7250434152900234
GRB050911,-0.996,15.968,-0.752,15.488,4.765472e-07 ,1.3325086590156652
GRB050908,-6.816,15.84,-4.896,13.388,7.134111e-07 ,1.2319412323770025
GRB050906,,,,,9.175507e-09 ,2.093342099337484
GRB050904,-13.516,216.956,15.212,196.788,1.096102e-05 ,1.7779111835789738
GRB050827,-31.184,36.124,-22.704,27.328,4.054988e-06 ,1.6620724423009003
GRB050826,-0.208,39.584,0.528,30.128,8.821733e-07 ,2.073719474955606
GRB050824,37.384,64.536,38.488,63.496,3.045299e-07 ,0.713460509310713
GRB050822,-1.556,133.688,0.848,105.14,3.056868e-06 ,0.8486918059834355
GRB050820B,-0.308,15.02,1.54,13.604,4.235670e-06 ,1.6515814368806017
GRB050820A,-20.472,240.888,-1.448,239.32,8.019838e-06 ,1.7977941143309895
GRB050819,-7.216,40.084,-3.328,34.388,3.916076e-07 ,0.7574781856168968
GRB050815,-0.728,2.724,-0.528,2.464,1.461978e-07 ,1.3303321863436515
GRB050814,-4.556,175.48,-0.08,142.772,2.939359e-06 ,1.3161640945840039
GRB050813,-0.024,0.412,-0.004,0.38,8.928870e-08 ,2.3108933970393366
GRB050803,59.584,165.124,62.248,150.372,4.099232e-06 ,1.6302717602811507
GRB050802,-3.408,30.064,-2.192,25.264,3.956268e-06 ,1.5712670958013442
GRB050801,0.052,25.688,0.192,19.76,4.232510e-07 ,1.1431677604569257
GRB050730,-57.268,120.516,-44.736,109.864,4.157496e-06 ,1.4948928275145903
GRB050726,-40.832,15.632,-36.256,10.24,5.311301e-06 ,2.589225713770499
GRB050724,-0.024,107.14,0.052,98.736,1.415353e-06 ,1.165762243140589
GRB050721,-3.64,149.552,-1.188,103.512,5.789070e-06 ,1.2251243188590373
GRB050717,-0.016,209.152,2.848,87.864,1.287691e-05 ,1.6975410653536591
GRB050716,-13.676,76.388,-8.348,60.672,1.239943e-05 ,1.6477825522944705
GRB050715,-152.048,54.952,-138.048,48.952,2.830872e-06 ,1.3735672225573203
GRB050714B,13.492,68.248,17.708,67.072,7.505050e-07 ,0.9006999391357274
GRB050713B,0.32,177.696,2.08,123.776,7.709100e-06 ,1.569676379582952
GRB050713A,-69.384,121.336,-52.744,71.928,8.933069e-06 ,1.446937629893781
GRB050712,-20.444,40.124,-12.984,38.372,1.936723e-06 ,1.583980530967577
GRB050701,-4.732,28.408,-3.648,18.048,2.170114e-06 ,1.3042773130186693
GRB050607,-11.368,36.632,-11.368,36.632,8.670240e-07 ,1.169580337740284
GRB050603,-17.768,23.232,-9.768,11.232,1.749903e-05 ,1.8199943286940756
GRB050528,-8.116,4.984,-6.664,4.584,5.543465e-07 ,0.9866195828545218
GRB050525A,-0.12,12.676,0.328,9.164,2.357491e-05 ,
GRB050509B,0.0,0.028,0.0,0.024,1.457096e-08 ,2.2700738966009673
GRB050509A,-6.26,6.784,-5.6,4.908,4.458282e-07 ,1.0186617623138456
GRB050507,-4.824,13.176,-2.824,12.176,5.182897e-07 ,1.524930886344436
GRB050505,-10.064,52.508,-8.644,50.208,4.714940e-06 ,1.6562281564871357
GRB050502B,-17.32,3.168,-15.884,1.84,7.963463e-07 ,1.4450066917227575
GRB050422,-11.296,68.704,-11.296,68.704,1.137549e-06 ,1.7300555551543197
GRB050421,0.044,8.74,0.2,8.608,1.496130e-07 ,1.6763313076460313
GRB050418,-8.352,80.56,-5.092,76.668,8.429671e-06 ,1.308489092754308
GRB050416B,0.072,4.196,0.188,3.58,2.269022e-06 ,1.7430097011833634
GRB050416A,-0.012,9.44,0.12,6.788,4.315128e-07 ,0.5246261896947818
GRB050412,-8.284,23.908,-6.32,21.252,2.030303e-06 ,2.832434644228734
GRB050410,-27.024,36.976,-27.024,36.976,7.547443e-06 ,1.3744850760530283
GRB050406,-2.504,3.896,-2.08,3.696,9.233152e-08 ,0.9453227818390424
GRB050401,-5.908,27.804,-5.128,26.964,1.535567e-05 ,1.6132806343550092
GRB050326,-9.84,32.424,-5.084,24.356,1.826037e-05 ,1.7069857999670632
GRB050319,-134.092,27.772,-133.128,18.456,1.876665e-06 ,1.1531607148960585
GRB050318,-0.62,29.716,3.48,19.604,1.642312e-06 ,1.1354818406260625
GRB050315,-55.98,69.18,-47.808,47.592,4.186628e-06 ,0.9847364279589437
GRB050306,-3.42,187.8,4.916,163.44,2.091307e-05 ,1.515444573661441
GRB050223,-12.008,16.568,-7.908,14.772,9.634567e-07 ,1.242567682412264
GRB050219B,-35.592,38.568,-14.376,14.344,2.846621e-05 ,1.4581757265816737
GRB050219A,-5.808,30.4,-3.52,20.292,8.570349e-06 ,1.6911419855861594
GRB050215B,-2.072,13.368,-1.532,9.512,2.919895e-07 ,0.9599311474301769
GRB050215A,-0.324,71.068,0.42,66.832,1.262517e-06 ,1.8862525362244584
GRB050202,0.004,0.132,0.012,0.124,5.964993e-08 ,1.919552920254754
GRB050128,-7.56,25.44,-6.56,21.44,1.001184e-05 ,1.6299714338894213
GRB050126,-11.44,36.56,-11.44,36.56,1.720566e-06 ,1.76262526528561
GRB050124,-3.896,3.068,-1.132,2.804,2.275458e-06 ,1.5972761042473511
GRB050117,4.288,215.86,27.812,194.46,1.558891e-05 ,1.431627201271438
GRB041228,-2.736,70.7,1.336,57.636,5.989115e-06 ,1.3964007261225715
GRB041226,-1.592,7.608,-0.972,7.324,2.974869e-07 ,2.0307659735944577
GRB041224,-110.652,116.272,-93.648,83.916,1.399133e-05 ,1.2495387925001293
GRB041223,-10.536,145.944,1.764,110.824,3.781067e-05 ,1.8402636097542568
GRB041220,-0.208,6.812,-0.02,5.564,5.876749e-07 ,1.3439412530165395
GRB041219C,0.0,12.0,0.0,10.0,1.561714e-06 ,1.0449609890773064
GRB041219B,,,14.681,53.785,3.781224e-07 ,1.1599253919050077
GRB041219A,,,,,,
GRB041217,0.824,7.888,1.184,6.852,5.125789e-06 ,1.5221242153188164
GRB200324A,,,,,3.642837e-06 ,1.3595337757044692
GRB150424A,,,,,3.285516e-06 ,1.9749684663205913
